Timestamp,1. What is your age?,2. Gender,3. What is your academic level?,4. What is your field of study?,5. Have you had prior experience with AI tools?,6. How frequently do you use ChatGPT?,7. For what purposes do you primarily use ChatGPT? (Select all that apply),8. How much time do you spend using ChatGPT per week?,9. Do you believe ChatGPT has improved your research efficiency?,10. Has ChatGPT enhanced the quality of your writing?,11. Has ChatGPT increased your understanding of complex concepts?,12. What other benefits have you experienced from using ChatGPT?,13. Do you think you have become overly reliant on ChatGPT?,14. Are you concerned about plagiarism when using ChatGPT?,15. Has using ChatGPT impacted your critical thinking skills?,16. What other drawbacks have you experienced from using ChatGPT? ,17. Has your approach to research changed due to ChatGPT?,18. Has ChatGPT shifted your writing style?,19. Do you find yourself relying more on AI tools since using ChatGPT?,20. What other changes have you noticed in your learning habits?,21. How has ChatGPT influenced your academic performance? 
26/09/2024 16:14:59,21,Male,Undergraduated,Computer Science,Yes,Daily,Research,1-3 hours,Agree,Agree,Agree,resolve complex queries,Agree,Agree,Agree,lack of using own mind,Agree,Agree,Agree,to save time in complex tasks,yes
26/09/2024 16:21:38,22,Male,Undergraduated,Civil Engineering,Yes,Rarely,Homework assistance,1-3 hours,Agree,Neutral,Agree,Helpful website,Agree,Neutral,Neutral,ChatGPT  has a bad impact on student life because it harms the mind of the student .Easily provide solutions to the students without using their own mind.,Neutral,Neutral,Neutral,I have become lazy due to chat GPT.,Easily provide solutions .
26/09/2024 16:24:46,22,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Homework assistance, General knowledge",Less than 1 hour,Agree,Agree,Agree,It’s very interesting tool which help us in different problems to solve complex problems,Neutral,Neutral,Neutral,Laziness towards work ,Agree,Disagree,Neutral,Good Tool for research ,Not so much but it help me a lot
26/09/2024 16:31:27,23,Male,Graduated,Business and Finance,Yes,Daily,Research,1-3 hours,Agree,Agree,Agree,Improve my knowledge ability and more then get a experience through a chat gpt,Agree,Agree,Agree,Faces a difficulties ,Agree,Agree,Agree,More then,He helps to clear my degree and making assignments 
26/09/2024 16:41:42,21,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge, Other",1-3 hours,Agree,Agree,Agree,,Neutral,Agree,Agree,,Agree,Agree,Agree,,
26/09/2024 16:42:45,24,Male,Undergraduated,Software Engineering,Yes,Daily,"Research, Writing, Homework assistance, General knowledge, Other",1-3 hours,Strongly agree,Agree,Strongly agree,Skills Improvement ,Agree,Agree,Disagree,Nothing,Disagree,Agree,Agree,Nothing,
26/09/2024 16:43:29,20,Male,Undergraduated,Computer Science,Yes,Rarely,"General knowledge, Other",Less than 1 hour,Agree,Agree,Agree,,Agree,Agree,Agree,,Agree,Agree,Agree,,
26/09/2024 16:44:56,20,Male,Undergraduated,Mechanical Engineering,Yes,Rarely,Homework assistance,Less than 1 hour,Neutral,Agree,Disagree,We can enhance our writing skills,Neutral,Agree,Disagree,Expand your approch,Agree,Agree,Neutral,Not much ,Nothing impressive 
26/09/2024 16:46:39,20,Female,Undergraduated,Computer Science,Yes,Daily,"Research, Homework assistance",4-6 hours,Agree,Neutral,Agree,Make work easy for us,Strongly,Neutral,Neutral,None,Neutral,Neutral,Agree,for every task dependent on it,No more hard work to do
26/09/2024 16:58:32,21,Male,Undergraduated,Computer Science,Yes,Daily,Research,Less than 1 hour,Strongly agree,Strongly agree,Strongly agree,,Strongly,Disagree,Strongly agree,,Strongly agree,Neutral,Agree,,
26/09/2024 16:58:39,21,Male,Undergraduated,Computer Science,Yes,Daily,"Writing, Homework assistance",1-3 hours,Neutral,Neutral,Strongly agree,Making Project,Agree,Agree,Agree,Lack of Creativity ,Agree,Neutral,Agree,Search on ChatGPT instead of Google ,No
26/09/2024 16:59:34,20,Male,Undergraduated,Civil Engineering,Yes,Weekly,Research,Less than 1 hour,Agree,Strongly agree,Agree,,Disagree,Agree,Agree,,Agree,Agree,Agree,Nothing ,Nothing 
26/09/2024 17:09:13,22,Male,Undergraduated,Computer Science,Yes,Daily,"Research, Writing, Homework assistance, General knowledge",4-6 hours,Strongly agree,Agree,Strongly agree,"Assignments ,coding syntax helps etc",Agree,Neutral,Strongly agree,"Become more dependent on chatgpt,it effect my problem solving skill",Agree,Neutral,Agree,"Time saving,","It positively effect my academic performance, like i can study about complex topics,it makes very easier for me ,it enhance my general knowledge."
26/09/2024 17:12:51,20,Male,Undergraduated,Computer Science,Yes,Daily,"Homework assistance, General knowledge, Other",1-3 hours,Agree,Agree,Agree,It's very helpful for solving any type of queries.,Strongly,Strongly agree,Neutral,"I does not use my mind to solve any problem, i simply go to chatgpt for solving them. This is the problem which face...just religning on GPT.",Strongly agree,Neutral,Agree,No idea,very helpful to resolve problems.
